mol_chembl_id,molregno,standard_type,standard_relation,standard_value,standard_units,canonical_smiles,tgt_chembl_id,tgt_name,assay_chembl_id,assay_desc
CHEMBL199824,335202,EC50,=,0.01,nM,[11CH3]Oc1ccc2cccc(N3CCN(CCCCN4N=CC(=O)N(C)C4=O)CC3)c2c1,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL858881,Agonistic activity at human 5HT1A in CHO cells by the inhibition of forskolin-stimulated cAMP accumulation
CHEMBL1258761,707774,Ki,=,0.0141,nM,Fc1cccc2cccc(N3CCN(CCCOc4ccc5CNC(=O)c5c4)CC3)c12,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1260560,Displacement of [3H]-8-OH-DPAT from human 5HT1A receptor expressed in HeLa cells
CHEMBL1258533,707544,Ki,=,0.0152,nM,O=C1NCc2ccc(OCCCN3CCN(CC3)c4cccc5ccccc45)cc12,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1260560,Displacement of [3H]-8-OH-DPAT from human 5HT1A receptor expressed in HeLa cells
CHEMBL511857,515018,Ki,=,0.027999999999999997,nM,COc1cccc(c1)[C@@H]2CC[C@H](CC2)N3CCN(CC3)c4ccccn4,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL3594589,Agonist activity at human 5-HT1A receptor expressed in human HeLa cell membranes assessed as stimulation of [35S]GTPgammaS binding after 20 mins by liquid scintillation counting analysis
CHEMBL271987,441890,Ki,=,0.03,nM,COc1ccccc1N2CCN(CCCCCNc3ccc4ccccc4n3)CC2,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL950989,Displacement of [3H]8-OH-DPAT from human 5HT1A receptor expressed in HEK293 cells after 120 mins
CHEMBL1290716,717135,EC50,=,0.03162,nM,CN1C(=O)C=Cc2c(CCN3CCN(CC3)c4cccc5nc(C)ccc45)cccc12,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1293144,Agonist activity at human 5-HT1A receptor expressed in HEK293 cells assessed as stimulation of GTPgammaS binding by scintillation proximity assay
CHEMBL1258648,707660,Ki,=,0.0447,nM,Fc1ccc2cccc(N3CCN(CCCOc4ccc5CNC(=O)c5c4)CC3)c2c1,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1260560,Displacement of [3H]-8-OH-DPAT from human 5HT1A receptor expressed in HeLa cells
CHEMBL1257734,706737,Ki,=,0.0501,nM,O=C1NCc2ccc(OCCCN3CCN(CC3)c4cccc5CCCOc45)cc12,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1260561,Binding affinity to human 5HT1A receptor expressed in HeLa cells by scintillation proximity assay
CHEMBL1258879,707893,Ki,=,0.0504,nM,Fc1cccc2cccc(N3CCN(CCCCOc4ccc5CNC(=O)c5c4)CC3)c12,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1260560,Displacement of [3H]-8-OH-DPAT from human 5HT1A receptor expressed in HeLa cells
CHEMBL2112882,1385133,Ki,=,0.0631,nM,CC(C)C[C@@H]1N2C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@@H]4Cc5c[nH]c6cccc(C4=C3)c56)O[C@@]2(O)[C@H](Cc7ccccc7)NC1=O,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL616228,Binding affinity against 5-hydroxytryptamine 1A human cloned receptors in HEK293 cells using [3H]8-OH-DPAT as radioligand
CHEMBL490417,493093,Ki,=,0.0631,nM,Cc1ccc2c(cccc2n1)N3CCN(CCc4ccc5OCC(=O)Nc5c4)CC3,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1248645,Antagonist activity against human recombinant 5HT1A receptor expressed in HEK293 cells assessed as inhibition of 5HT-induced [35S]GTPgammaS binding by scintillation proximity assay
CHEMBL43116,64134,Ki,=,0.06761,nM,COc1cccc(OC)c1OCCNCCOc2ccccc2OCc3ccccc3,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL619203,Affinity constant on CHO cells expressing Human recombinant 5-hydroxytryptamine receptor 1A
